image_src,description,course_identification,course_title,course_level,first_category,second_category,skill_tag,seq0_instructor_id,seq0_instructor_name,student_count,star_rate,review_count,is_new_course,reg_price,reg_vat_price,selling_price,is_discount,discount_id,discount_title,discount_rate,course_last_updated_date,course_published_date,installment_price,installment_month
https://cdn.inflearn.com/public/courses/327995/cover/55039667-091c-46a0-8da0-5dbafc8add5b/327995-eng.png?w=420,"<출근하지 않고 퇴직하지 않는 지식창업> 저자의 1인지식창업 방향설계 특강!
이 강의를 통해 월급 외 수익 창출 방법과 자신만의 퍼스널브랜딩을 해나가는 방법을 알게 됩니다.",327995,무자본 1인지식창업 입문특강 | 책쓰기 유튜브 수익창출 퍼스널브랜딩 네이버카페 운영법까지 초보를 위한 올인원 특강!,입문,커리어,개인 브랜딩,집필,289891,작가 글리쌤 ,21,5,4,FALSE,50000,55000,55000,FALSE,,,,2021-11-13T00:00:00.000Z,2021-11-23T15:00:00.000Z,,
https://cdn.inflearn.com/public/courses/327543/cover/bb55b3eb-30bd-48f6-a238-775b6cee2372/photo_2021-10-14_14-04-20.jpg?w=420,"본 강의는 도깨비 방망이가 아닙니다. 시행착오가 필요하고 금융시장에서의 시행착오란 손실인점을 명심하십시오.
규칙 > 거래 > 결과 세가지 과정을 차근차근 배워보겠습니다.
봇 트레이딩은 장점과 단점이 분명히 존재하고, 우리는 장점이 더 크다고 생각하기 때문에 실행합니다.",327543,제로부터 시작하는 암호화폐 오토트레이딩,초급,자기계발,금융 ·  재테크,투자,363714,XABCD,64,4.958333333,24,FALSE,198000,217800,217800,FALSE,,,,2021-10-13T00:00:00.000Z,2021-10-12T15:00:00.000Z,43560,5
https://cdn.inflearn.com/public/courses/327752/cover/de843d38-775e-4992-814d-e957786f5e14/1632487199.845954IMG_8001.JPG?w=420,"아두이노를 활용해 실생활의 문제를 해결해보면서, 코딩에 더욱 친숙해지고 생각하는 힘을 길러봅니다.
최종 산출물을 완성하기 위해 단계적으로 문제를 해결해나가는 경험을 할 수 있어요.",327752,자동 손소독제 디스펜서 만들기,입문,하드웨어,임베디드 · IoT,"Arduino,임베디드",359309,설리번 프로젝트,344,5,4,FALSE,0,0,0,FALSE,,,,2021-09-29T00:00:00.000Z,2021-09-28T15:00:00.000Z,,
https://cdn.inflearn.com/public/courses/326834/cover/13d1edb6-3080-4dbd-be7d-78fe18a3c7ff/326834-eng.png?w=420,"iOS 앱 개발 애플 공식 교재를 해설하기 위해 만든 강의로, Swift를 사용한 iOS 모바일 앱 개발을 경험할 수 있습니다. (Part 2)",326834,[애플 공식 교재] iOS 앱 만들기 Part2,초급,개발 · 프로그래밍,모바일 앱 개발,"Swift,iOS",169756,코더스하이,204,0,0,FALSE,50000,55000,55000,FALSE,,,,2022-05-27T11:41:38.427Z,2021-04-20T15:00:00.000Z,,
https://cdn.inflearn.com/public/courses/326632/cover/df2844be-cadf-453d-9183-5ba79911b0b3?w=420,"‘개발자, 나의 성장을 도왔던 것들’에 대하여 이야기 합니다. ​
_서지연 AI 엔지니어
_김영재 기술전문 펠로우
_하재승 시니어 개발자
_조은 리드 개발자
_김상우 데이터그룹 본부장
_곰코치 애자일 코치",326632,"[DevGround] 개발자, 나의 성장을 도왔던 것들",입문,"개발 · 프로그래밍,커리어","기타 (개발 · 프로그래밍),기타 (커리어)","커뮤니케이션,업무 생산성",195159,한빛미디어,153,5,1,FALSE,60000,66000,66000,FALSE,,,,2021-03-04T00:00:00.000Z,2021-03-03T15:00:00.000Z,,
https://cdn.inflearn.com/public/course-326286-cover/fad3764b-ba9d-4a4f-ae90-3961f85cd439?w=420,"웹툰 중급자들에게 그리기 스킬과 칼라링을 배울수 있습니다.
클립스튜디오를 활용해
웹툰(만화) 전문가가 되기위한 기술를 다져봅시다!",326286,"웹툰,만화기법(중급)",중급이상,디자인,그래픽 디자인,"드로잉,CLIP STUDIO PAINT",76584,안감독,17,1,1,FALSE,50000,55000,55000,FALSE,,,,2020-12-10T05:16:22.679Z,2020-12-14T15:00:00.000Z,,
https://cdn.inflearn.com/public/course-326170-cover/1f16c07c-526a-4281-911a-6604d7544fec?w=420,이 강의를 통해 일상 생활에서 스스로 문장을 만들어 이야기할 수 있게 됩니다.,326170,실용 중국어 회화 [스스로 말할 수 있게!],초급,학문 · 외국어,외국어,중국어,212170,하루배움 중국어,18,0,0,FALSE,45000,49500,49500,FALSE,,,,2020-11-27T00:00:00.000Z,2020-11-26T15:00:00.000Z,,
https://cdn.inflearn.com/public/course-325781-cover/b2840c30-7490-4977-9ed2-12cf0a003587?w=420,"게임, 해보기만 했지 만들어보지 못했다면?
게임 개발 하면서 공부도 재밌게 하는 거 어때요?",325781,나는 게임으로 공부한다!,입문,게임 개발,게임 프로그래밍,"C#,Unity",359309,설리번 프로젝트,996,4.285714286,14,FALSE,0,0,0,FALSE,,,,2020-09-03T00:00:00.000Z,2020-09-02T15:00:00.000Z,,
https://cdn.inflearn.com/public/course-325913-cover/5b00862e-8ec3-4be8-9a77-6300cda5e672?w=420,수강생 모두가 전문가 수준으로 Project를 활용할 수 있도록 100% 실습 위주로 쉽고 체계적으로 지도합니다. 실전 프로젝트 관리 방법론과 다양한 사례를 제시하여 수강생에게 프로젝트의 성공에 대한 확신과 의지를 높여 줍니다.,325913,Project 2013을 활용한 프로젝트 관리 실무,중급이상,비즈니스 · 마케팅,오피스,"MS-Office,프로젝트 관리,MS Project",352757,오피스튜터,12,0,0,FALSE,500000,550000,550000,FALSE,,,,2020-09-01T00:00:00.000Z,2020-08-31T15:00:00.000Z,110000,5
https://cdn.inflearn.com/public/course-325899-cover/1392f3a8-8ca8-4b52-bc90-5c614b6b882b?w=420,"OneNote 2013의 향상된 기능을 통해 좀 더 쉽고, 빠르게 작업을 완성할 수 있고, 또한 언제 어디서든 작업을 할 수 있습니다.",325899,쉽고 빠르게 익히는 OneNote 2013,입문,비즈니스 · 마케팅,오피스,"MS-Office,OneNote",352757,오피스튜터,6,0,0,FALSE,50000,55000,55000,FALSE,,,,2020-08-28T00:00:00.000Z,2020-08-27T15:00:00.000Z,,
https://cdn.inflearn.com/public/course-325880-cover/c5e814b3-a6f7-4142-92a1-c1de33d4c697?w=420,"Access는 데이터베이스를 만들 수 있는 도구입니다. Excel과는 달리, 단순하거나 반복적인 업무를 정형화 하는 것이 매우 쉽습니다. 프로그래밍 지식이 없더라도 ‘대화상자’와 그에 따른 보고서를 표시하는 것이 가능합니다.
또한 데이터베이스 이므로, 비교적 큰 용량의 데이터도 쉽고 빠르게 다룰 수 있습니다",325880,쉽고 빠르게 익히는 Access 2013,초급,비즈니스 · 마케팅,오피스,"MS-Office,Access",352757,오피스튜터,10,0,0,FALSE,90000,99000,99000,FALSE,,,,2020-08-27T00:00:00.000Z,2020-08-26T15:00:00.000Z,19800,5
https://cdn.inflearn.com/public/course-325869-cover/42aeaf05-2a7c-40cc-a62e-d2a1e81202d3?w=420,Word 작업중 부딪치게 되는 어려운 문제의 해결 방법을 학습하고 작업 효율을 높여줄 꿀팁을 학습하실 수 있습니다.,325869,Word 2013에서 자주 발생하는 문제 해결 및 유용한 기능 알아보기,중급이상,비즈니스 · 마케팅,오피스,"MS-Office,Word",352757,오피스튜터,11,4,1,FALSE,20000,22000,22000,FALSE,,,,2020-08-25T00:00:00.000Z,2020-08-24T15:00:00.000Z,,
